,adrenal.gland,esophagus,testis,kidney,ovary,pancreas,prostate,liver,colon,heart,lung
ENSG00000121410,7.41138397832798,8.22413315153735,7.64982995232148,7.67255334438392,7.52446778311392,7.34923625832593,7.87924633857954,6.89930595953917,7.83754464664725,8.03968752373768,7.41199632604164
ENSG00000148584,NA,NA,NA,NA,NA,5.94744770475998,NA,7.09832505599484,NA,NA,NA
ENSG00000175899,7.81708255185368,8.24213478013035,7.36199198473694,6.97599871378703,7.15931485153867,7.64871498753367,7.90982267165856,7.62646510731018,7.82304099689277,7.38984920200051,8.2810025031625
ENSG00000094914,5.5068025777624,NA,NA,NA,5.4962975766586,NA,NA,NA,5.03373079933088,NA,NA
ENSG00000081760,NA,NA,NA,NA,NA,5.88650911272652,NA,NA,5.89930196499262,NA,NA
ENSG00000114771,7.79158539527757,NA,NA,NA,NA,NA,NA,6.93533163298581,NA,NA,NA
ENSG00000115977,5.88308198946138,NA,NA,NA,NA,NA,NA,NA,5.08469371946452,NA,NA
ENSG00000087884,6.77091825490062,NA,6.68221795419881,6.90214166188977,6.74326962754792,NA,7.16861730138699,NA,7.38853586568739,7.72091655244821,6.37140831360159
ENSG00000127837,NA,NA,5.92058077598461,NA,5.92981336956602,NA,NA,NA,6.27398553287378,NA,NA
ENSG00000090861,6.8486262714855,5.5257863698797,6.99939955403017,5.06018883909651,7.11577171771242,7.23347325226355,7.10463195137269,7.52190814466484,7.08434026684882,6.03727401254061,6.74816166492975
ENSG00000124608,5.51324424308392,NA,5.7404700716073,NA,5.3193203594371,NA,5.32146284808423,NA,5.7193638634388,NA,5.24167710271548
ENSG00000149313,6.28885261419975,NA,6.18483439602602,6.40398119382521,6.59901408011744,5.98675416474364,6.23404367475983,NA,NA,6.27864929594798,5.78890580461785
ENSG00000008311,5.80823123502458,NA,6.59458705397895,5.15648868437202,5.90767788319903,5.87683010499052,5.86604179163159,7.23531886693513,5.24530445783508,6.97953453789746,5.81149145172519
ENSG00000183044,6.64818430576458,NA,6.58879226519695,8.08505358111268,6.96224397127556,7.51494277764732,6.5051443940404,8.65831093972491,NA,7.23146091668415,5.59381806921469
ENSG00000154262,NA,NA,NA,NA,NA,NA,NA,7.17922602914185,5.17051601444398,NA,NA
ENSG00000141338,6.86873258123893,5.80082215422634,5.46612311392439,NA,6.47141345142905,NA,NA,NA,6.05849660207898,NA,5.50407593602737
ENSG00000085563,7.56014583984905,NA,NA,NA,NA,NA,NA,6.92191326073603,5.38995315098146,NA,NA
ENSG00000115657,5.72384135782677,NA,4.85623562992008,NA,5.85057902154585,NA,NA,6.50346360929743,4.85749344992005,NA,NA
ENSG00000131269,6.17032039987338,NA,NA,5.55446962496303,4.75014984430874,NA,NA,6.47749904199665,5.78132455818304,6.1894864680071,NA
ENSG00000197150,5.54948145868315,NA,NA,5.02352138197272,NA,NA,NA,5.44370683911986,NA,5.99150716833347,NA
ENSG00000103222,5.22141423784234,4.9229784039451,NA,NA,5.18607339878524,NA,NA,NA,5.57660865613875,NA,NA
ENSG00000023839,NA,NA,NA,NA,NA,NA,NA,6.6458429275055,NA,NA,NA
ENSG00000108846,6.80031833389461,NA,NA,NA,NA,NA,NA,6.8830973913087,5.21865907853025,NA,NA
ENSG00000125257,NA,NA,NA,NA,4.88891952583389,NA,NA,NA,5.5274060331155,NA,NA
ENSG00000091262,NA,NA,NA,NA,NA,NA,NA,7.13371275882341,NA,NA,NA
ENSG00000101986,6.70476804602784,NA,NA,5.1423573884696,7.20664357798623,NA,NA,5.51340026849312,5.04955866034571,NA,6.10779687848535
ENSG00000117528,6.60869715039655,NA,NA,6.87552312557179,6.44089718009347,NA,5.65424031372038,7.48408663200248,5.74757555297168,6.3322642432924,6.23005528293665
ENSG00000164163,6.51157590530992,NA,5.33161457150079,5.97395740939222,6.73453399809754,7.1202080417458,6.21252226104669,6.52994428820136,6.73411242384542,6.44506027666583,5.73458181310192
ENSG00000204574,6.67239344718103,6.52398759045067,6.45081587896007,NA,6.83809952705716,6.30537751513325,5.90568303490964,6.29107485014466,6.47452064147617,5.76455413256299,6.13736567516143
ENSG00000033050,5.91097639287165,NA,NA,NA,NA,NA,NA,NA,5.84442910323645,5.55941554073354,NA
ENSG00000161204,6.90310627272966,NA,NA,4.67646509466434,6.12027155641808,5.2130624832114,5.14095314514182,5.58370526740671,5.48003329503082,NA,NA
ENSG00000144827,7.54656733859998,NA,7.13521925637166,7.618184593609,7.41405936073046,6.52937615505905,6.72407952496715,7.06818785660528,7.09111980659595,7.69538345618013,6.7841318945011
ENSG00000106077,6.89857161598926,6.57598128641029,NA,7.22166782765727,5.95978013284412,6.23323129584252,6.60261364619617,NA,6.21532585058269,6.87707246645398,6.15355436904602
ENSG00000100997,5.39708795620305,NA,6.29763341404772,5.76601929111181,5.81060420465362,NA,NA,NA,6.06731379142755,NA,6.06149776770151
ENSG00000114779,7.72520900924276,8.19295758393882,7.95069814935637,8.23473312752609,7.3235994607208,7.7751752107455,7.96019572693322,8.24186066482869,7.78691959537083,6.77441824023867,7.65008508891279
ENSG00000163686,5.96427849165401,NA,NA,6.11431550850271,NA,NA,NA,NA,NA,NA,NA
ENSG00000136754,NA,NA,5.48701440849877,5.88472730076761,5.49888328125459,NA,NA,NA,6.84533162742224,NA,6.04788601208103
ENSG00000154175,NA,NA,6.3390366879019,NA,NA,NA,6.0180019853959,NA,5.82238564430094,NA,6.18914792424655
ENSG00000099204,7.38947405832853,5.81093823941578,6.84150243112972,6.01730587006961,6.30337069165197,6.48037808238894,NA,NA,6.18956191159788,8.13859057307135,6.17827129891936
ENSG00000159842,5.36956834659655,NA,NA,NA,4.78556097268827,NA,NA,NA,5.92773906091507,NA,NA
ENSG00000146386,NA,NA,NA,7.42536338407394,6.99503264480695,7.846519988913,NA,7.51112728943525,7.69950461746845,NA,7.18301560613325
ENSG00000060971,6.98441928884728,6.15915684011352,5.84373365850921,8.0601121891245,NA,NA,6.5792802170498,8.16535423099645,6.54242227018868,6.96963919258089,7.05945726838121
ENSG00000167315,7.75760856848149,7.19323341404139,7.19279039712847,8.78887787536024,6.00160189762607,7.47633355018736,6.70927382928547,8.8002965928503,8.0438483180059,8.73476832914385,7.47401990343091
ENSG00000132142,5.94718366098703,NA,5.09851055737499,NA,6.10289795957966,NA,NA,NA,5.53258669381738,NA,NA
ENSG00000076555,NA,NA,NA,NA,NA,NA,NA,6.61245210948046,4.55115345293357,NA,NA
ENSG00000111271,5.04910167820856,NA,NA,6.56814107272049,NA,NA,NA,NA,NA,NA,NA
ENSG00000240303,5.75108655488602,NA,NA,5.77571765278591,6.03941778431023,NA,NA,7.49185516106411,NA,5.87128199182869,NA
ENSG00000151498,6.15314385651374,NA,5.96969595568958,7.1123790620864,6.3810741554897,6.1326407990961,5.53114551574822,NA,6.29021040088301,6.57407807935882,6.3197469593752
ENSG00000177646,6.93553245618938,6.43737864771702,NA,6.41246407612966,5.99799268306825,6.85752316450213,6.05203008337866,6.88418299675557,6.29063099377652,7.47910963161367,6.78915827206008
ENSG00000115361,NA,NA,5.96849638924604,7.0307441683715,NA,6.3339622574851,5.51192237172587,6.658893021241,NA,NA,6.50161168805358
ENSG00000117054,7.76672506992655,7.26046710620998,7.07199398848839,8.3900621924293,7.08646935056211,7.1032593750679,6.51575204493869,8.06596123026615,7.34636557620594,8.44670306220758,6.79621809110673
ENSG00000122971,7.38582068707189,NA,6.13756896739815,7.75733260389945,6.14421332971015,6.85600945448398,6.31775321877951,7.9480761818615,7.28220670314767,7.93899916247853,6.86210288353601
ENSG00000196177,7.5493956672767,6.91394572606716,6.49856407441481,8.22977082130424,5.11212301796475,6.26585781832117,6.63381035682955,8.3773495223729,6.43682831886622,7.74474679080048,6.72409613619074
ENSG00000072778,8.74485602704152,8.53370001219778,7.44846293746617,8.35480175624518,7.21299700660021,8.46781554781992,7.71004509707469,8.5824599275638,7.60217184742537,9.08029180805713,7.71908317573081
ENSG00000114331,5.30239587315257,NA,5.91215078267581,NA,5.92954779475074,NA,5.29826810072479,NA,6.06612785215638,NA,5.53671395234044
ENSG00000075239,9.02476470870475,8.56299502654192,8.15684971820024,8.64176362221477,6.62876061670885,7.99802938916921,7.5286931459942,8.82795125738879,7.80714126467055,9.01645285325867,7.74414890584636
ENSG00000120437,7.08318000412998,7.04823995427218,7.04302044465349,6.78051113080184,6.09530059810604,6.5931620372535,7.07018510747714,7.65719752212685,6.83672694770167,NA,6.44836702715504
ENSG00000182827,6.48845200199112,5.22310471351503,6.39960963426564,5.2107696892928,6.88186149700482,6.94579549004605,6.77483429454319,6.68818354692963,6.39443216845428,6.92598060302104,6.22633568811035
ENSG00000107897,NA,NA,NA,NA,6.10770372520756,NA,NA,6.24844147177433,4.90500515546637,5.7569560229359,NA
