,adrenal.gland,esophagus,testis,kidney,ovary,pancreas,prostate,liver,stomach,spleen,colon,lung
ENSG00000121410,7.31257929490614,8.18946274530678,7.69740267247428,8.02644470760852,7.48178993312602,8.49122555408124,8.3417503897889,7.66784689966071,7.43874582003642,7.31474916918338,8.05922389028812,7.39208272027895
ENSG00000148584,NA,NA,NA,5.46148485815124,NA,NA,NA,NA,NA,NA,5.41358352853602,7.09526543190543
ENSG00000175899,7.58965923032897,8.75336456339801,8.17800029748472,8.15805499739045,7.29826557303491,8.82362827465298,8.22082207894894,7.97629757235747,7.80591326646529,7.58022655157332,8.42201592731143,7.77245449254891
ENSG00000094914,NA,NA,NA,NA,NA,NA,NA,5.50361057602079,4.78990371276449,NA,NA,NA
ENSG00000081760,5.29846006946145,6.70224607523472,6.38012163541974,5.41474236114077,NA,5.50042280938158,NA,5.91784601644549,6.83747385825244,NA,5.79876977345168,NA
ENSG00000114771,7.12956100230908,NA,NA,NA,NA,NA,NA,NA,5.31505870996214,NA,NA,7.87774774854191
ENSG00000103591,NA,5.58355077777171,5.61087260116941,NA,NA,5.10201467739171,NA,5.26887694555573,5.49747903903703,NA,NA,NA
ENSG00000115977,5.38273726576133,NA,5.12896957312815,NA,NA,5.63402647017206,NA,NA,NA,6.25348833105417,NA,NA
ENSG00000087884,7.80284895089154,6.47175063966655,6.99995148408657,6.57665684510277,7.29527191790996,6.87904098264077,8.01140259195739,6.60244762402139,NA,6.2641032059362,7.21419002742763,6.84012343391299
ENSG00000127837,NA,6.11027558793717,5.93103311720389,NA,6.15545624458751,NA,NA,NA,6.02364143154747,6.00984108345288,5.89510636461603,NA
ENSG00000090861,6.99299951197072,7.13752442027235,7.43579919376506,7.14316297561133,7.09263471060405,7.28940978810815,7.28201854741608,7.18163757119105,7.34008643695743,7.2653440792568,6.99562093795278,7.50872624246992
ENSG00000124608,5.70127432690213,6.11182455493875,6.06597721025232,5.85536132869639,6.05670013110824,5.47983307216114,5.96314776514595,5.27882678348992,6.14880160358365,5.82445864818419,6.05643069850051,5.80688634601694
ENSG00000149313,6.41783691162632,5.96335056091923,6.51963207446941,6.52528627164583,6.66794144028201,6.49957798540952,6.29400655855459,6.22659419838359,6.25003248455764,6.10802552511709,5.97442169660899,6.1754980985123
ENSG00000008311,5.97673045054218,6.39988676214202,6.58446628359251,7.06448616944703,6.36883173025973,5.04319408304068,5.72547183913076,6.42261651589242,5.51346700653241,5.45908583912925,5.77180021695982,7.79668969151658
ENSG00000183044,6.49245306235179,5.85958700852631,7.1037282702531,8.18518536553732,6.16972639530383,6.82715314376494,6.25890956059825,6.49798170916541,6.12872713337327,5.89568509286994,5.5666346795086,8.45859448302959
ENSG00000154262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.57600530041646
ENSG00000141338,5.67839089444509,4.76763915877859,6.51563700673826,5.12502412711549,5.16369053489773,5.65519264448589,NA,4.83428358919247,5.01228329565629,3.85941269720412,5.93999370916642,6.03863272093197
ENSG00000085563,6.58252924052884,NA,NA,6.77951866006055,NA,NA,4.11074429433644,NA,NA,NA,4.57282902640566,6.15437592285905
ENSG00000115657,4.660799096045,NA,NA,NA,NA,4.6978402270013,NA,NA,NA,NA,NA,NA
ENSG00000131269,5.63411436680763,NA,5.48471937824058,5.77344491751633,NA,NA,NA,4.81631471286474,4.83633192852706,5.51268978802701,5.89279181482472,6.14425742335438
ENSG00000197150,4.94659962501513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000103222,3.97152633099934,4.70847460426133,6.16614140785373,NA,NA,NA,4.46293537427654,5.17693219394735,5.08688745727859,NA,NA,NA
ENSG00000023839,NA,NA,NA,5.29596372469257,NA,NA,NA,NA,NA,NA,NA,6.14108873391965
ENSG00000108846,5.75621758446726,NA,NA,NA,NA,NA,NA,4.44778907456218,5.92881355447939,NA,6.0348695857726,5.16842448543058
ENSG00000125257,NA,NA,5.43464544814175,5.56940660900458,NA,NA,4.22636336783948,4.81629720699047,4.67838464999618,NA,4.95584320215801,NA
ENSG00000091262,NA,NA,NA,4.53215367594775,NA,NA,NA,NA,NA,NA,NA,6.77436929756706
ENSG00000101986,3.96149228404807,NA,NA,NA,NA,NA,NA,5.63911042816274,NA,NA,NA,NA
ENSG00000117528,NA,NA,NA,6.56405376940842,NA,NA,NA,6.69599033868017,NA,NA,NA,7.47357082684827
ENSG00000164163,6.05173119605985,6.3500975887405,6.48888783371693,NA,6.0343080941432,6.56716510299216,6.10845545344538,6.77889679254493,6.62505350197035,6.56727529262022,6.66146012007306,6.89845611814674
ENSG00000204574,6.2896112463483,5.89842519924435,6.1512390989351,4.86026169638164,6.06064240393071,7.121262729323,5.63485420835598,6.14973440818172,6.25045716313773,6.49908476673084,5.97956689534412,6.19334308355915
ENSG00000033050,NA,5.52832748129366,NA,NA,NA,NA,NA,5.31602151644563,NA,5.47160816817283,NA,NA
ENSG00000161204,6.52679143201882,5.8050534807438,4.96738972969733,NA,NA,NA,NA,4.90271070098026,5.3134706665696,NA,4.93302681365425,NA
ENSG00000144827,7.57643349840939,6.76011889054744,7.09724960932971,7.66104881561879,7.22618927232833,7.01950904848364,7.24161427822405,6.89209389130913,6.89094868331682,6.8223718030882,6.66382562562814,7.50484523704673
ENSG00000106077,6.91096573075953,6.26446760449822,6.42923186909252,7.10822754035372,6.20458790637545,6.58621980749989,6.55763942596667,6.72577570173379,6.60732615694719,6.25236987954262,7.21293549942793,6.50607117746552
ENSG00000100997,5.12198637905084,5.61265633471296,6.24692057995301,NA,5.31177666871617,NA,5.93815461676588,6.29800991360292,6.32424527225438,5.94449974830462,NA,NA
