"","adrenal.gland","colon","esophagus","kidney","liver","lung","ovary","pancreas","prostate","testis","spleen","stomach","heart"
"ENSG00000161057",6.91472534897273,6.86439689662817,6.55881385780755,6.79091610776585,6.70543311560582,7.0356625499463,6.93898804228195,6.85761123084776,6.93631069089435,7.07609781928201,7.05929813691837,6.77593557689219,7.54154708814251
"ENSG00000051596",NA,5.77503154523624,NA,NA,NA,NA,5.85973672332582,NA,NA,5.49985543026532,NA,5.56321262562093,NA
"ENSG00000182511",NA,NA,NA,NA,NA,5.1293892034852,NA,NA,NA,NA,6.90166757429809,5.1095010114437,NA
"ENSG00000100796",NA,NA,NA,NA,NA,NA,6.18416760673098,NA,NA,NA,NA,6.04335974291425,NA
"ENSG00000143376",6.18349123890382,6.60238119620638,NA,6.3740764646642,6.19637038407396,6.29018091394429,NA,5.68082137833679,6.20720666003171,5.73799155995317,5.77939255357761,6.51390802660778,NA
"ENSG00000172172",6.15576101287792,6.06858817497607,5.94659583677076,6.57986777001451,NA,5.70838755025969,5.64926664488579,NA,NA,5.73971587242341,NA,NA,5.81934999494934
"ENSG00000172020",NA,NA,NA,NA,NA,NA,NA,5.3652431793782,5.77560524892987,NA,NA,NA,NA
"ENSG00000005884",6.07309677007272,6.81563174804467,5.94577033267886,6.18308080016366,NA,7.36454530151913,5.9243247915631,NA,6.63116866462702,6.58537088056983,5.22469638997919,6.28651407292957,NA
"ENSG00000128595",7.03968765190933,6.62535024804846,NA,7.22165026530729,6.66362460083407,6.96047036652272,7.15292119488931,6.79397189569121,7.27124589922347,7.69835676296461,5.99809517183649,7.29834994247911,6.85307876099748
"ENSG00000175220",7.54520720722682,7.44761899068698,7.75157580673621,7.18886360471426,NA,7.35504433305536,7.38996733469071,7.28614547899131,7.92411166286781,7.79285802739031,8.0835526609063,7.89584229768871,7.72761438044616
"ENSG00000034510",NA,NA,NA,6.0869619994574,NA,6.43561886594858,NA,NA,6.09889786063071,NA,8.49860224547449,NA,NA
"ENSG00000187608",NA,5.84960621789773,NA,NA,NA,5.53410747617237,NA,NA,NA,NA,7.04190550276768,6.44169684019751,NA
"ENSG00000174684",5.91769452042799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000131652",5.22631629693934,5.06550139740199,NA,5.93738517821231,NA,6.0907305762472,5.96077017165996,6.18893501231383,5.1954839769466,5.85634289623292,6.3929592733194,5.3208037044064,NA
"ENSG00000119314",NA,6.1157111455527,NA,6.18580193789557,NA,5.89731447664327,5.8042863188869,NA,NA,NA,6.02066710961001,6.20931504570756,NA
"ENSG00000100568",6.27671700354929,6.48272204636203,6.22751525087535,5.94719487728634,NA,6.70609380133565,5.91569910056965,NA,6.06699709905273,5.65591774777066,5.87605624146229,NA,6.8734356243047
"ENSG00000008283",7.25705796233725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53822930203365,NA
"ENSG00000108468",6.00384763955523,NA,NA,6.64903759618082,NA,NA,7.24030824100721,NA,6.75717490673838,6.7193365249718,6.99157039912345,6.1073987008136,NA
"ENSG00000158109",NA,NA,NA,NA,NA,NA,NA,NA,5.04529491184692,5.65132546390213,NA,NA,5.9302828607283
"ENSG00000136044",6.02703109007704,6.0008361773888,NA,5.20853628026903,NA,NA,6.37131417943157,6.04205359239664,5.66278210365611,5.9140883355511,5.89182348997579,6.24206917503896,NA
"ENSG00000113163",6.29061038171259,5.47486483023993,NA,NA,NA,NA,5.57931530326661,5.67386018128031,6.09704817845012,5.59589717464235,5.50055441893704,6.01091698268374,NA
"ENSG00000179776",NA,6.19716572521821,NA,NA,NA,6.7596938871179,5.49272209567049,NA,NA,5.60908816695078,NA,NA,6.16470473642756
"ENSG00000125266",NA,5.86419203335247,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.46112701870136,NA
"ENSG00000196220",NA,NA,NA,NA,NA,NA,4.46291745425465,NA,NA,NA,NA,NA,NA
"ENSG00000131238",7.78929453073371,7.17746226711181,6.45348829654004,7.07724886808391,6.82201801368955,7.32943590071459,6.93608902114521,6.9201593032077,7.56200279547626,7.25355954051315,7.12619002300971,6.97543495899127,7.47408157515868
"ENSG00000155792",6.51486760664454,5.93249366659758,NA,5.69647450984934,NA,NA,NA,NA,NA,NA,5.72287847328067,4.94077120450995,NA
"ENSG00000178567",6.33495630244444,5.5521936249558,NA,6.092587584064,NA,5.78630440956319,5.86527391745048,6.3809763951781,6.62746188963733,6.31832469241397,NA,4.42149283442551,6.36197557923601
"ENSG00000101146",6.2665034778551,6.38393462232047,6.04728791898254,NA,NA,NA,6.52064655290919,NA,5.83291249215997,6.8481141974338,6.54826290195777,6.28059552970641,NA
"ENSG00000160285",7.24580201897849,5.91409528013984,6.25266347020715,5.92795971793525,7.52948547362794,6.57274395024495,6.39891887332921,7.22617710414717,7.17257424344313,7.02062257979446,6.1955474445059,6.83209955501273,6.68742651536171
"ENSG00000100577",6.75654790878056,5.99293367565303,7.40186688768261,7.46560549968237,7.58894218393885,5.75759035926341,7.06204533169664,6.28543583613173,7.16570235425532,6.85921630653671,6.8534881405083,6.743608245869,NA
"ENSG00000136026",7.63847331090078,7.43746357044679,7.42960594683084,6.4825879654772,7.46725972006588,7.79948076746595,7.18341984161835,8.21241716724989,7.49011907061972,7.80396707118911,5.85285356408238,7.46811380147471,8.30198613778905
"ENSG00000078114",NA,NA,NA,7.3571514082615,NA,7.14071440136227,NA,NA,8.44047324114959,NA,NA,4.83168623389527,8.83548184155997
"ENSG00000167553",NA,NA,NA,6.63177770098031,NA,NA,6.23241073868081,NA,6.66487071043453,6.42054850730204,NA,NA,NA
"ENSG00000116062",4.66848389051137,5.11285445140652,NA,NA,NA,NA,6.21420722354712,5.15460980121551,NA,6.24615794844058,4.12164397153393,4.45605774102479,NA
"ENSG00000170632",6.54349630654847,5.4539858519759,6.64259276869167,6.65106411617196,NA,6.5558972985489,6.70043235467282,NA,6.20152357259752,6.48804202479825,NA,5.81916009644417,5.87266769525449
"ENSG00000197943",5.36702146276859,5.53989961967362,NA,5.62995404813956,NA,NA,NA,NA,NA,NA,6.73843957747984,6.62211724661673,NA
"ENSG00000154222",4.89336707027164,5.05815558069142,NA,NA,NA,4.96702108462792,5.19980214606991,NA,NA,NA,NA,4.47999912439617,NA
"ENSG00000213341",5.55695798395535,4.99126642289058,NA,NA,NA,NA,NA,NA,NA,NA,4.99177451365552,5.43853613622443,NA
