Accessions,uterus,kidney,testis,pancreas,stomach,prostate,ovary,thyroid gland,adrenal gland,salivary gland,spleen,esophagus
ENSG00000000003,,,,,3.9617926304,,,,,4.9555560533,,
ENSG00000000419,4.9985419923,5.2774407249,5.6291961438,4.1974369603,5.5161837762,5.3262852846,5.5929296098,4.594462735,5.0071074542,5.6073021225,4.7069065781,5.206125287
ENSG00000000457,,,3.829495786,3.6724863794,4.5735155386,,,,3.4857098121,4.8973110371,,
ENSG00000000971,5.5603270936,6.5261240727,6.2667199944,6.4707427647,6.1936593182,6.266918493,6.3083136688,5.8892614939,6.0211309711,6.1161977943,6.0609156722,6.7316977019
ENSG00000001036,5.2257313201,3.9873073155,5.6798817085,,4.5800568035,,,,5.3044230944,4.0206159121,5.1895889958,
ENSG00000001084,5.2288077533,5.2938417799,5.0054334726,5.42941696,6.0989776679,5.5882500329,5.1053621227,5.0322773197,5.2133768547,5.6302817444,6.0459520549,6.0055370767
ENSG00000001561,,,,,,,,,,4.325043326,4.5545393028,
ENSG00000001630,4.5292917194,4.0651419109,5.8459836224,,5.5433614662,4.5449211396,,,6.1468053268,4.6110118958,,
ENSG00000002330,4.2418017624,4.7051156123,4.8635567683,,4.9757713191,4.1114648339,4.4471465495,,4.8074108363,5.2170748424,,4.8688387387
ENSG00000002549,5.8290273789,6.7586278283,6.4236520756,6.2154380894,6.5425854718,5.9828759256,6.586698325,5.5713478865,6.297508437,6.4476755907,7.1627632432,6.5357867169
ENSG00000002586,,,4.5751387645,4.7189395659,,6.3609338835,6.4846555642,,,5.1614411005,5.6065602256,6.0569016125
ENSG00000002726,,6.5891510723,,,5.679677847,,,,,,,
ENSG00000002822,,,4.5390865725,,4.2753149156,,4.4402311069,3.6583470885,4.190555908,4.444192366,4.062616372,
ENSG00000002834,5.7441382983,6.077616568,6.5883450379,6.1830794066,6.6884433761,6.4313047438,6.7738643088,6.1190248566,6.3706723394,6.4944160206,6.6836828919,6.1701744646
ENSG00000003056,4.0434700267,4.9417013391,4.7035854375,,5.2056602093,4.5153553601,5.3774820025,3.6126600327,,4.8785276311,5.2386456276,4.8391131283
ENSG00000003400,,,,,4.3653428901,,,,,,3.9697991911,
ENSG00000003509,,,,,4.0339646663,3.7646856303,,,,4.7335258949,,
ENSG00000004059,5.084395178,5.9938708173,5.8335240755,5.5976948314,6.2864539186,5.822341254,6.23782577,5.0935043232,5.6053682889,6.260356255,5.957976973,6.358564781
ENSG00000004455,5.9452762551,7.1018491884,6.1831295611,6.5372480944,6.5837746725,6.0128359857,6.4352425582,5.7393844507,6.6083690879,6.8010196267,6.3978356178,6.3935024779
ENSG00000004468,,,,,5.5871599537,,4.6618020648,,,4.4160286275,4.6560224574,
ENSG00000004478,5.2787669985,6.0170292604,5.594918673,5.5260624139,6.6591252391,5.8815628222,6.7104878933,5.7335413613,5.8063085943,6.3633772598,5.8235283689,6.6852249412
ENSG00000004487,3.505962816,3.7817314317,5.2479886934,4.2600435313,4.8249809366,3.9695684883,5.4330100153,3.4878915457,4.8193056681,4.5620555488,4.8951246655,4.830741096
ENSG00000004700,5.0301669594,4.6364467216,5.8654472911,5.0442870387,5.6754289851,5.2376454626,5.3925738448,5.0505605315,5.3418769346,5.4475093418,5.9576623402,5.5621160561
ENSG00000004766,,3.756557161,3.9486134655,,4.6330214027,,,,3.6118745082,4.7687487016,3.9064180108,3.3161533507
ENSG00000004776,6.0487091842,6.1821443961,6.1329146896,6.4898367951,6.8478935253,7.0830330636,7.1573892906,6.8917367368,7.0800775919,6.1637641884,5.3287409224,6.5946173967
ENSG00000004779,,5.7772199522,5.2170029015,4.823821015,,5.6076481023,5.9077676974,,4.8572566733,5.6222342294,4.5739046137,4.5436497451
ENSG00000004799,,,,,3.9774551689,,,,4.380337175,,,4.4306987917
ENSG00000004864,,6.1236424078,5.1772959624,,5.4283895082,,,,5.3282858717,4.7045092671,,4.2930650916
ENSG00000004939,6.4283732364,5.2703428238,4.9478561021,6.2991337354,5.0220014491,4.9489090897,5.1700173234,6.6434350564,5.1824708516,5.4593801769,6.2017015406,5.9138733616
ENSG00000004961,,4.3378626056,,,4.3499345111,,,,3.472473264,4.6598970987,,4.6311168032
ENSG00000004975,,,,,,,,3.7431143217,,,,3.7631236124
ENSG00000005007,4.0921325547,5.4148361438,6.0868481047,5.5054135778,5.994721836,5.1241928714,5.5805383546,4.9575816956,5.075680046,5.6800250437,6.0038561558,5.4331990128
ENSG00000005020,,,,4.611639683,,,,,,,5.5849842142,
ENSG00000005022,5.0495714668,7.1239155029,6.1882763384,5.8762600524,6.5122339215,5.9290475627,6.1305107378,4.8841107234,5.8128562791,6.3417063747,5.5284402536,6.0515212974
