Accessions,uterus,kidney,testis,pancreas,stomach,prostate,ovary,thyroid gland,adrenal gland,salivary gland,spleen,esophagus
ENSG00000000003,1.3979400087,1.6473829701,1.7626785637,1.1553360375,1.3031960574,1.4828735836,1.748188027,1.4828735836,1.3344537512,1.7466341989,0.9956351946,1.6776069527
ENSG00000000419,1.5365584426,1.53529412,1.5797835966,1.3242824553,1.4712917111,1.531478917,1.5010592622,1.6570558529,1.6998377259,1.3873898263,1.4712917111,1.631443769
ENSG00000000457,0.8920946027,0.8325089127,0.8808135923,0.6127838567,0.8864907252,0.9344984512,0.9138138524,0.9138138524,0.8195439355,0.8129133566,0.8692317197,0.8573324964
ENSG00000000971,1.1522883444,1.285557309,1.2764618042,0.8388490907,1.6730209071,1.383815366,1.383815366,1.5198279938,1.656098202,1.348304863,1.0569048513,1.8299466959
ENSG00000001036,1.5390760988,1.7315887652,1.278753601,1.3692158574,1.6766936096,1.4742162641,1.5378190951,1.6570558529,1.6748611407,1.2174839442,1.4683473304,1.3117538611
ENSG00000001084,1.2833012287,1.3560258572,1.1003705451,0.8388490907,1.469822016,1.3783979009,0.7923916895,1.4409090821,1.2718416065,0.9731278536,1.53529412,1.4814426285
ENSG00000001561,0.6720978579,1.2227164711,0.9493900066,0.7634279936,1.0569048513,1.2455126678,0.361727836,1.0934216852,1.1702617154,1.2013971243,1.0863598307,0.7558748557
ENSG00000001630,1.1553360375,1.3010299957,1.6839471308,1.1613680022,1.4742162641,1.4668676204,1.1931245984,1.2741578493,1.5865873047,0.8920946027,0.9542425094,1.348304863
ENSG00000002330,1.2988530764,1.5237464668,1.3443922737,1.1335389084,1.6473829701,1.5465426635,1.2479732664,1.2095150145,1.3096301674,1.5465426635,1.278753601,1.0755469614
ENSG00000002549,1.5611013836,1.9334872878,1.7024305364,1.1583624921,1.6875289612,1.551449998,1.3364597338,1.6599162001,1.69019608,1.6893088591,1.8943160627,1.6263403674
ENSG00000002586,2.2350231595,1.6444385895,2.2506639195,1.9444826722,1.9429995934,2.2725377774,2.2981978671,1.7387805585,1.806179974,1.773786445,2.0748164406,2.1792644643
ENSG00000002726,0.0413926852,2.2013971243,0.361727836,,1.2576785749,0.6232492904,,,,,,0
ENSG00000002822,0.9867717343,0.84509804,1.3783979009,0.5185139399,0.9138138524,0.9242792861,0.8920946027,1.0086001718,0.7323937598,0.8573324964,1.3010299957,0.9867717343
ENSG00000002834,1.5899496013,1.6364878964,1.3242824553,1.2988530764,1.8790958795,1.3443922737,1.6170003411,1.3636119799,1.3996737215,1.4132997641,1.7881683711,1.4756711883
ENSG00000003056,1.7986506454,1.7693773261,1.758154622,1.3463529745,1.7656685548,1.717670503,1.678518379,1.922725458,1.7810369386,1.7041505168,2.0220157398,1.7024305364
ENSG00000003400,0.5682017241,0.6989700043,0.1760912591,0.278753601,1.0530784435,0.3424226808,0.079181246,0.7403626895,0.361727836,0.414973348,1.2624510897,0.9190780924
ENSG00000003509,1.1072099696,1.0253058653,1.8182258936,0.5440680444,0.903089987,0.9493900066,0.8864907252,0.8920946027,1.1875207208,0.7403626895,0.9867717343,0.8692317197
