,adrenal.gland,esophagus,testis,kidney,ovary,pancreas,prostate,liver
ENSG00000121410,7.41138397832798,8.22413315153735,7.65210761292263,7.6687909757178,7.52505890707118,7.34798303107636,7.87924633857954,6.89930595953917
ENSG00000148584,NA,NA,NA,NA,NA,5.94619447751041,NA,7.09832505599484
ENSG00000175899,7.81708255185368,8.24213478013035,7.36426964533809,6.97223634512091,7.15990597549593,7.6474617602841,7.90982267165856,7.62646510731018
ENSG00000094914,5.5068025777624,NA,NA,NA,5.49688870061586,NA,NA,NA
ENSG00000081760,NA,NA,NA,NA,NA,5.88525588547695,NA,NA
ENSG00000114771,7.79158539527757,NA,NA,NA,NA,NA,NA,6.93533163298581
ENSG00000115977,5.88308198946138,NA,NA,NA,NA,NA,NA,NA
ENSG00000087884,6.77091825490062,NA,6.68449561479997,6.89837929322365,6.74386075150518,NA,7.16861730138699,NA
ENSG00000127837,NA,NA,5.92285843658577,NA,5.93040449352328,NA,NA,NA
ENSG00000090861,6.8486262714855,5.5257863698797,7.00167721463133,5.05642647043038,7.11636284166968,7.23222002501398,7.10463195137269,7.52190814466484
ENSG00000124608,5.51324424308392,NA,5.74274773220845,NA,5.31991148339436,NA,5.32146284808423,NA
ENSG00000149313,6.28885261419975,NA,6.18711205662718,6.40021882515909,6.5996052040747,5.98550093749407,6.23404367475983,NA
ENSG00000008311,5.80823123502458,NA,6.5968647145801,5.1527263157059,5.90826900715629,5.87557687774095,5.86604179163159,7.23531886693513
ENSG00000183044,6.64818430576458,NA,6.59106992579811,8.08129121244655,6.96283509523282,7.51368955039775,6.5051443940404,8.65831093972491
ENSG00000154262,NA,NA,NA,NA,NA,NA,NA,7.17922602914185
ENSG00000141338,6.86873258123893,5.80082215422634,5.46840077452555,NA,6.47200457538631,NA,NA,NA
ENSG00000085563,7.56014583984905,NA,NA,NA,NA,NA,NA,6.92191326073603
ENSG00000115657,5.72384135782677,NA,4.85851329052123,NA,5.85117014550311,NA,NA,6.50346360929743
ENSG00000131269,6.17032039987338,NA,NA,5.5507072562969,4.750740968266,NA,NA,6.47749904199665
ENSG00000197150,5.54948145868315,NA,NA,5.0197590133066,NA,NA,NA,5.44370683911986
ENSG00000103222,5.22141423784234,4.9229784039451,NA,NA,5.1866645227425,NA,NA,NA
ENSG00000023839,NA,NA,NA,NA,NA,NA,NA,6.6458429275055
ENSG00000108846,6.80031833389461,NA,NA,NA,NA,NA,NA,6.8830973913087
ENSG00000125257,NA,NA,NA,NA,4.88951064979115,NA,NA,NA
ENSG00000091262,NA,NA,NA,NA,NA,NA,NA,7.13371275882341
ENSG00000101986,6.70476804602784,NA,NA,5.13859501980347,7.20723470194348,NA,NA,5.51340026849312
ENSG00000117528,6.60869715039655,NA,NA,6.87176075690567,6.44148830405073,NA,5.65424031372038,7.48408663200248
ENSG00000164163,6.51157590530992,NA,5.33389223210195,5.97019504072609,6.73512512205479,7.11895481449623,6.21252226104669,6.52994428820136
ENSG00000204574,6.67239344718103,6.52398759045067,6.45309353956122,NA,6.83869065101442,6.30412428788368,5.90568303490964,6.29107485014466
ENSG00000033050,5.91097639287165,NA,NA,NA,NA,NA,NA,NA
ENSG00000161204,6.90310627272966,NA,NA,4.67270272599822,6.12086268037534,5.21180925596183,5.14095314514182,5.58370526740671
ENSG00000144827,7.54656733859998,NA,7.13749691697282,7.61442222494288,7.41465048468771,6.52812292780948,6.72407952496715,7.06818785660528
ENSG00000106077,6.89857161598926,6.57598128641029,NA,7.21790545899115,5.96037125680138,6.23197806859295,6.60261364619617,NA
ENSG00000100997,5.39708795620305,NA,6.29991107464888,5.76225692244569,5.81119532861088,NA,NA,NA
ENSG00000114779,7.72520900924276,8.19295758393882,7.95297580995752,8.23097075885997,7.32419058467806,7.77392198349593,7.96019572693322,8.24186066482869
ENSG00000163686,5.96427849165401,NA,NA,6.11055313983659,NA,NA,NA,NA
ENSG00000136754,NA,NA,5.48929206909992,5.88096493210149,5.49947440521184,NA,NA,NA
ENSG00000154175,NA,NA,6.34131434850305,NA,NA,NA,6.0180019853959,NA
ENSG00000099204,6.91235280360887,5.33381698469612,6.36665883701122,5.53642224668382,5.82684056088956,6.00200360041971,NA,NA
ENSG00000159842,5.36956834659655,NA,NA,NA,4.78615209664553,NA,NA,NA
ENSG00000146386,NA,NA,NA,7.42160101540782,6.99562376876421,7.84526676166343,NA,7.51112728943525
ENSG00000060971,6.98441928884728,6.15915684011352,5.84601131911036,8.05634982045838,NA,NA,6.5792802170498,8.16535423099645
ENSG00000167315,7.75760856848149,7.19323341404139,7.19506805772962,8.78511550669412,6.00219302158333,7.47508032293779,6.70927382928547,8.8002965928503
ENSG00000076555,NA,NA,NA,NA,NA,NA,NA,6.61245210948046
ENSG00000111271,5.04910167820856,NA,NA,6.56437870405437,NA,NA,NA,NA
ENSG00000240303,5.75108655488602,NA,NA,5.77195528411978,6.04000890826749,NA,NA,7.49185516106411
ENSG00000151498,6.15314385651374,NA,5.97197361629074,7.10861669342028,6.38166527944696,6.13138757184653,5.53114551574822,NA
ENSG00000177646,6.93553245618938,6.43737864771702,NA,6.40870170746353,5.99858380702551,6.85626993725256,6.05203008337866,6.88418299675557
ENSG00000115361,NA,NA,5.97077404984719,7.02698179970538,NA,6.33270903023554,5.51192237172587,6.658893021241
ENSG00000117054,7.76672506992655,7.26046710620998,7.07427164908954,8.38629982376318,7.08706047451937,7.10200614781833,6.51575204493869,8.06596123026615
ENSG00000122971,7.38582068707189,NA,6.1398466279993,7.75357023523333,6.14480445366741,6.85475622723441,6.31775321877951,7.9480761818615
ENSG00000196177,7.5493956672767,6.91394572606716,6.50084173501597,8.22600845263811,5.11271414192201,6.2646045910716,6.63381035682955,8.3773495223729
ENSG00000072778,8.44382603137754,8.2326700165338,7.14971060240334,8.05000939191508,6.91255813489349,8.16553232490637,7.40901510141071,8.28142993189982
ENSG00000114331,5.30239587315257,NA,5.91442844327696,NA,5.93013891870799,NA,5.29826810072479,NA
ENSG00000075239,9.02476470870475,8.56299502654192,8.15912737880139,8.63800125354865,6.62935174066611,7.99677616191964,7.5286931459942,8.82795125738879
ENSG00000120437,7.08318000412998,7.04823995427218,7.04529810525464,6.77674876213572,6.0958917220633,6.59190881000393,7.07018510747714,7.65719752212685
ENSG00000182827,6.48845200199112,5.22310471351503,6.40188729486679,5.20700732062668,6.88245262096208,6.94454226279648,6.77483429454319,6.68818354692963
ENSG00000107897,NA,NA,NA,NA,6.10829484916482,NA,NA,6.24844147177433
ENSG00000159640,5.13347503683809,5.65512173639552,5.25968644128635,5.00469341363977,6.72636794370817,NA,6.10668733053392,NA
ENSG00000130234,NA,NA,NA,5.3252462342354,7.36181573490047,NA,NA,NA
ENSG00000100813,5.47767101295665,NA,6.0571713959513,NA,6.59145420456822,NA,4.40104791909044,5.73339364342233
ENSG00000153086,NA,NA,NA,6.24357697843178,NA,NA,NA,NA
ENSG00000122729,7.70607738731008,NA,NA,NA,NA,NA,NA,NA
ENSG00000100412,8.14057088863295,7.7630981163866,7.55756374707556,7.61894628879235,8.10785144469889,8.07993147329741,7.86539345138157,7.92634764259575
ENSG00000184227,6.41674033367636,NA,NA,7.93039063524836,5.20470095837107,NA,7.00871764039096,NA
ENSG00000112304,6.9921291776296,NA,6.48806653485487,7.84430664739654,6.49102438752811,7.35859906595751,6.84816476100292,7.90410966794199
ENSG00000119673,7.71916549408921,NA,NA,6.80734497820678,6.94767029633666,NA,NA,NA
ENSG00000097021,6.28510702956681,NA,NA,6.69622285955401,NA,NA,NA,NA
ENSG00000101473,6.0707395628492,NA,NA,5.59191137450885,6.34684055025919,NA,NA,NA
ENSG00000123130,7.13627653566029,6.60346915092539,6.85943759244633,6.74693491992836,6.32550584171191,6.52988512787192,6.87236430482851,NA
ENSG00000161533,6.30835094858673,6.50296011924125,5.68507578117941,7.06450067498077,7.10438946070402,NA,NA,7.27156594255498
ENSG00000168306,NA,NA,NA,6.48090876415005,6.48321460177669,NA,NA,7.83104544015094
ENSG00000087008,5.46907055203125,6.23364018621797,NA,NA,5.38134312243257,NA,5.19638813669042,6.10697506768817
ENSG00000143727,7.39576308941776,NA,7.19191806181292,7.49198184858506,7.37910830290685,7.37117564665987,7.32223171520884,7.39319153876274
ENSG00000134575,6.99000567910428,NA,NA,5.76180403435215,5.66166428231722,6.38349583099233,NA,7.03103991565573
ENSG00000102575,NA,NA,NA,NA,NA,NA,6.32674053178146,NA
ENSG00000162836,5.82112688010538,NA,NA,5.75626423029328,5.2178900967133,NA,NA,NA
ENSG00000167107,7.92708279159841,NA,5.85483685827929,7.64212535897038,6.34324926815427,5.92541558432901,6.21153713473279,7.02493661079607
ENSG00000176715,6.98101176411492,NA,5.56682275047505,6.3767120040115,5.94992429920954,6.0452662673869,5.99588033662684,6.84120301077636
ENSG00000151726,7.60055908481037,6.88107165647021,6.54847011502522,7.93218547780563,7.44999997777643,7.91055464832679,7.63556871221852,8.71122909188941
ENSG00000123983,7.18854039689688,NA,6.43304669379297,6.00364649224047,6.88564209531606,6.92097366151547,6.99162516097761,6.26397432595498
ENSG00000068366,6.58699215739537,NA,5.62642930477735,6.42376287386322,6.07323551038332,5.73811878152818,5.83135562801704,NA
ENSG00000197142,NA,NA,NA,NA,NA,NA,NA,7.59169350415836
ENSG00000164398,NA,NA,NA,NA,6.63284237462847,NA,NA,NA
ENSG00000183747,NA,NA,NA,7.83103202123383,NA,NA,NA,7.97610830191208
ENSG00000066813,NA,NA,NA,8.00493317784358,NA,NA,NA,8.5940261277729
ENSG00000005187,NA,NA,NA,6.71160077609775,NA,NA,NA,6.83057084454931
ENSG00000183549,NA,NA,NA,NA,NA,NA,NA,6.82302673158729
ENSG00000154930,5.94567534280385,NA,6.04175983105131,6.88107971516763,7.25506846648679,7.24599427106988,6.78059393147286,NA
ENSG00000131069,6.73980959902136,NA,5.7698421508037,5.8682155829326,6.42451201579029,6.23870240850905,6.06206682881034,7.26902128316381
ENSG00000111058,6.95479226767631,NA,6.40813569592335,6.99152576884414,5.83481614279575,5.65688232125546,5.6415938534255,7.36231736700327
