,adrenal.gland,esophagus,testis,kidney,ovary,pancreas,prostate,liver,stomach,spleen
ENSG00000121410,7.31257929490614,8.1873819670671,7.69739701461706,8.02489006315859,7.48182044760062,8.48956374518907,8.34108951110057,7.66789251226602,7.43790719485458,7.31030076116835
ENSG00000148584,NA,NA,NA,5.45993021370131,NA,NA,NA,NA,NA,NA
ENSG00000175899,7.58965923032897,8.75128378515833,8.1779946396275,8.15650035294052,7.29829608750951,8.82196646576081,8.22016120026062,7.97634318496278,7.80507464128345,7.57577814355829
ENSG00000094914,NA,NA,NA,NA,NA,NA,NA,5.5036561886261,4.78906508758265,NA
ENSG00000081760,5.29846006946145,6.70016529699504,6.38011597756253,5.41318771669084,NA,5.49876100048941,NA,5.9178916290508,6.8366352330706,NA
ENSG00000114771,7.12956100230908,NA,NA,NA,NA,NA,NA,NA,5.3142200847803,NA
ENSG00000103591,NA,5.58146999953203,5.61086694331219,NA,NA,5.10035286849954,NA,5.26892255816104,5.49664041385519,NA
ENSG00000115977,5.38273726576133,NA,5.12896391527093,NA,NA,5.63236466127989,NA,NA,NA,6.24903992303914
ENSG00000087884,7.80284895089154,6.46966986142688,6.99994582622935,6.57510220065284,7.29530243238456,6.8773791737486,8.01074171326907,6.6024932366267,NA,6.25965479792117
ENSG00000127837,NA,6.10819480969749,5.93102745934667,NA,6.15548675906212,NA,NA,NA,6.02280280636563,6.00539267543785
ENSG00000090861,6.99299951197072,7.13544364203268,7.43579353590784,7.1416083311614,7.09266522507865,7.28774797921598,7.28135766872776,7.18168318379636,7.33924781177559,7.26089567124177
ENSG00000124608,5.70127432690213,6.10974377669908,6.0659715523951,5.85380668424646,6.05673064558284,5.47817126326897,5.96248688645763,5.27887239609523,6.14796297840181,5.82001024016916
ENSG00000149313,6.41783691162632,5.96126978267956,6.51962641661219,6.52373162719589,6.66797195475661,6.49791617651735,6.29334567986627,6.2266398109889,6.2491938593758,6.10357711710206
ENSG00000008311,5.97673045054218,6.39780598390234,6.58446062573529,7.0629315249971,6.36886224473433,5.04153227414851,5.72481096044244,6.42266212849773,5.51262838135057,5.45463743111422
ENSG00000183044,6.49245306235179,5.85750623028663,7.10372261239589,8.18363072108739,6.16975690977843,6.82549133487277,6.25824868190993,6.49802732177072,6.12788850819143,5.89123668485491
ENSG00000141338,5.67839089444509,4.76555838053892,6.51563134888104,5.12346948266556,5.16372104937233,5.65353083559372,NA,4.83432920179778,5.01144467047445,3.85496428918909
ENSG00000085563,6.58252924052884,NA,NA,6.77796401561062,NA,NA,4.11008341564812,NA,NA,NA
ENSG00000115657,4.660799096045,NA,NA,NA,NA,4.69617841810913,NA,NA,NA,NA
ENSG00000131269,5.63411436680763,NA,5.48471372038336,5.7718902730664,NA,NA,NA,4.81636032547005,4.83549330334522,5.50824138001198
ENSG00000197150,4.94659962501513,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000103222,3.97152633099934,4.70639382602165,6.16613574999652,NA,NA,NA,4.46227449558822,5.17697780655266,5.08604883209675,NA
ENSG00000023839,NA,NA,NA,5.29440908024264,NA,NA,NA,NA,NA,NA
ENSG00000108846,5.75621758446726,NA,NA,NA,NA,NA,NA,4.44783468716749,5.92797492929756,NA
ENSG00000125257,NA,NA,5.43463979028453,5.56785196455465,NA,NA,4.22570248915116,4.81634281959577,4.67754602481434,NA
ENSG00000091262,NA,NA,NA,4.53059903149782,NA,NA,NA,NA,NA,NA
ENSG00000101986,3.96149228404807,NA,NA,NA,NA,NA,NA,5.63915604076805,NA,NA
ENSG00000117528,NA,NA,NA,6.56249912495849,NA,NA,NA,6.69603595128547,NA,NA
ENSG00000164163,6.05173119605985,6.34801681050082,6.48888217585971,NA,6.0343386086178,6.56550329409999,6.10779457475706,6.77894240515023,6.62421487678851,6.56282688460519
ENSG00000204574,6.2896112463483,5.89634442100467,6.15123344107788,4.85870705193171,6.06067291840531,7.11960092043083,5.63419332966766,6.14978002078702,6.24961853795589,6.49463635871581
ENSG00000033050,NA,5.52624670305398,NA,NA,NA,NA,NA,5.31606712905094,NA,5.4671597601578
ENSG00000161204,6.52679143201882,5.80297270250412,4.96738407184011,NA,NA,NA,NA,4.90275631358557,5.31263204138776,NA
ENSG00000144827,7.57643349840939,6.75803811230776,7.09724395147249,7.65949417116886,7.22621978680293,7.01784723959147,7.24095339953573,6.89213950391444,6.89011005813498,6.81792339507317
ENSG00000106077,6.91096573075953,6.26238682625854,6.42922621123531,7.10667289590379,6.20461842085005,6.58455799860772,6.55697854727835,6.7258213143391,6.60648753176535,6.24792147152759
ENSG00000100997,5.12198637905084,5.61057555647328,6.24691492209579,NA,5.31180718319078,NA,5.93749373807756,6.29805552620822,6.32340664707254,5.94005134028959
ENSG00000114779,8.00885556399621,7.81324474991597,7.60149705028981,8.3988273269736,8.23069688847722,8.35723364529417,8.01110479528936,7.78488336546451,7.71416909439011,7.97962615821062
ENSG00000011198,5.95471033032272,4.89751265540445,NA,NA,NA,5.649192502874,NA,NA,5.61793303618473,NA
ENSG00000163686,5.89472025587852,NA,NA,6.59337584582792,NA,NA,NA,NA,5.93914831877605,6.18272192839384
ENSG00000136754,5.90405521879157,6.35950195463079,5.82754909356772,6.13072255577981,6.4126994496533,6.06828473357687,NA,6.30373453378445,6.48415966167681,6.38383529390347
ENSG00000108798,5.58283576529058,NA,NA,NA,NA,5.54461755833909,NA,NA,5.86355644656623,6.94832704313623
ENSG00000154175,NA,NA,NA,NA,NA,NA,NA,3.97827668891755,NA,NA
ENSG00000099204,5.88998482853249,5.11367976160919,5.75755751574921,4.74214023137302,6.1782740587343,NA,NA,NA,3.91893706325207,NA
ENSG00000159842,5.76515424830402,6.33752896605754,NA,NA,5.79831096433463,5.86356514666366,6.51437253642951,6.03550834580861,6.342083294831,5.96276892712679
ENSG00000146386,5.83778407917638,6.26008039112176,7.52769998050232,7.97348562443461,7.37884806661267,7.81053723644055,7.34123661257968,7.80258615811099,NA,7.90054128210876
ENSG00000060971,7.24644933826704,6.65046101166795,6.59744424114031,8.04849518721555,NA,6.67300130014588,6.43995979664744,7.17590820925828,7.00962196295161,7.14307208057315
ENSG00000167315,7.86148064342719,7.15374831036155,7.20742715490602,8.81562630324446,7.47713547986205,7.55602300588245,7.58927385669118,7.62464787489603,7.42073599984913,7.77748576879002
